Male;Height(cm);Height;Weight;Mean;(data[i]-mean)^2;Variance;StandardDeviation
Male;187.5714232245;73.8470170175;241.8935631804;175.1577829813;154.0984640864;51.5389979476;7.1790666488
Male;174.7060362766;68.7819040459;162.3104725213;;0.2040750852;;
Male;188.2396676952;74.1101053918;212.7408555565;;171.135707667;;
Male;182.1966851444;71.7309784033;220.0424703031;;49.5461436614;;
Male;177.4997614872;69.8817958611;206.3498006239;;5.4848633221;;
Male;170.822659847;67.2530156878;152.2121557571;;18.7932925894;;
Male;174.7141063793;68.7850812517;183.927888604;;0.1968489271;;
Male;173.6052293995;68.3485155116;167.9711104895;;2.4104226245;;
Male;170.2281321438;67.0189496629;175.9294403957;;24.30145738;;
Male;161.1794947051;63.4564939784;156.3996763871;;195.3925431315;;
Male;180.8362709988;71.195382283;186.6049255604;;32.2452261651;;
Male;181.9676450028;71.6408051192;213.7411694894;;46.3742207514;;
Male;164.5064759988;64.7663291334;167.1274610735;;113.4503404347;;
Male;175.9789980456;69.2830700967;189.4461813867;;0.6743941819;;
Male;175.8790798637;69.2437322298;186.4341680212;;0.5202691925;;
Male;171.819874039;67.6456197004;172.1869300581;;11.141636107;;
Male;183.94252423;72.418316626;196.0285063305;;77.1716788073;;
Male;162.4947873316;63.9743257211;172.8834702088;;160.3514588245;;
Male;176.8857521455;69.6400598998;185.9839575731;;2.9858774324;;
Male;172.5574523292;67.936004854;182.4266480132;;6.7617195005;;
Male;172.5042274923;67.9150501938;174.1159290814;;7.0413567335;;
Male;176.3761772647;69.439439868;197.7314216147;;1.4844846299;;
Male;168.0187951807;66.1491319609;149.173566008;;50.9651468173;;
Male;191.0231729801;75.2059736142;228.7617806152;;251.710599813;;
Male;172.4487187;67.8931963386;162.0066518483;;7.33902928;;
Male;173.0858433074;68.1440327982;192.3439765792;;4.2929340122;;
Male;175.4876638294;69.0896314289;184.4351744084;;0.1088213739;;
Male;184.9141425319;72.8008435165;206.8281894204;;95.1865516808;;
Male;171.2499553955;67.4212422817;175.2139223992;;15.2711164402;;
Male;173.9808950065;68.4964153569;154.342638926;;1.3850653052;;
Male;174.2900007975;68.6181105502;187.5068431558;;0.7530459185;;
Male;188.0458713591;74.0338076217;212.9102253255;;166.1028220344;;
Male;181.6816687304;71.5282160356;195.0322432338;;42.5610852676;;
Male;175.717609193;69.1801610996;205.1836213414;;0.3134053873;;
Male;176.7260940081;69.5772023654;204.1641254841;;2.4595994768;;
Male;178.8183593768;70.4009288885;192.9035150746;;13.3998195472;;
Male;175.4534747655;69.0761711675;197.4882425989;;0.0874336312;;
Male;170.6715491381;67.1935232827;183.8109732328;;20.1262940962;;
Male;167.1505817634;65.8073156549;163.8518248786;;64.1152713432;;
Male;163.3326372447;64.3041878916;163.1080171476;;139.8340716927;;
Male;172.6548140171;67.9743362272;172.1355974068;;6.2648536358;;
Male;183.3611419364;72.1894259592;194.0454048981;;67.2950981457;;
Male;165.786677631;65.270345524;168.6177462043;;87.8176154872;;
Male;167.8690505358;66.0901773763;161.1934325966;;53.1256206621;;
Male;171.4762166499;67.5103215157;164.660277264;;13.5539306527;;
Male;178.0661570882;70.1047862552;188.9223031513;;8.4586399457;;
Male;173.3596645599;68.2518364409;187.0605521638;;3.2332298574;;
Male;183.3186811541;72.1727091158;209.0708633903;;66.6002589873;;
Male;175.716838352;69.1798576189;192.014335412;;0.3125429075;;
Male;185.0907147739;72.8703601472;211.3424968196;;98.6631339962;;
Male;164.5477607641;64.782582978;165.6116261823;;112.5725714491;;
Male;178.2662167143;70.1835498875;201.0719180996;;9.6623602721;;
Male;173.9682836424;68.4914502529;173.4239603466;;1.4149086773;;
Male;171.0203104377;67.330830881;181.4076792859;;17.1186790487;;
Male;170.1569979696;66.9909440825;169.7377074003;;25.0078507337;;
Male;168.9088567465;66.4995499002;163.3095283097;;39.0490790879;;
Male;173.6167638819;68.3530566464;189.7102099425;;2.3747398649;;
Male;179.7671260388;70.7744590704;192.1248473462;;21.2460434219;;
Male;180.8884461205;71.2159236695;198.1984641076;;32.8405000153;;
Male;177.8339479867;70.0133653491;209.5264998371;;7.1618591362;;
Male;181.3640828408;71.4031822208;198.7597926599;;38.5181579464;;
Male;176.6620929408;69.5520050948;198.0795236544;;2.2629484542;;
Male;187.4990777768;73.8185345578;195.2906121897;;152.3075572297;;
Male;170.1720821908;66.9968827523;164.943302997;;24.857212372;;
Male;181.4029033685;71.4184658931;179.8639023393;;39.0015286503;;
Male;165.8094225309;65.279300209;155.250420694;;87.3918431114;;
Male;173.4164463445;68.2741914742;184.5193912486;;3.0322532828;;
Male;184.8240396636;72.7653699463;220.6780414653;;93.4365182481;;
Male;172.9724246928;68.0993798003;183.3126553072;;4.7757908493;;
Male;174.9976334234;68.8967060722;196.4513122912;;0.0256478809;;
Male;175.9953553068;69.2895099633;184.5956083003;;0.7015274004;;
Male;179.1289902897;70.5232245235;207.5328385185;;15.7704874862;;
Male;176.9458620753;69.6637252265;177.2009287523;;3.1972268464;;
Male;171.6919827721;67.5952688079;163.1080022094;;12.0117710903;;
Male;184.1706257655;72.5081203801;216.2182301127;;81.2313350519;;
Male;180.9825834337;71.2529856038;204.6554938223;;33.9283003097;;
Male;182.3953346991;71.8091868894;200.9205712195;;52.3821548675;;
Male;183.5027203174;72.2451654793;220.9017698811;;69.6379791438;;
Male;168.9420742587;66.5126276609;196.4498603408;;38.6350349244;;
Male;167.7137463722;66.0290340048;168.640810039;;55.4136810377;;
Male;171.6459710145;67.5771539427;181.4327130081;;12.3328232905;;
Male;173.3462842481;68.2465686016;198.6586733264;;3.2815276605;;
Male;187.5183625866;73.8261270026;237.9167358632;;152.7839281791;;
Male;177.2982594757;69.8024643605;173.0412559092;;4.581639623;;
Male;167.5373275736;65.9595777849;160.6839166399;;58.07134062;;
Male;180.5407046423;71.0790175757;188.6029190707;;28.9758456082;;
Male;169.1543392045;66.5961965372;208.3456940351;;36.0413371813;;
Male;175.1368991357;68.9515350928;193.4351184523;;0.000436135;;
Male;173.3409329524;68.2444617923;174.1096937906;;3.3009440274;;
Male;183.6847358119;72.3168251228;197.3685892493;;72.7089245755;;
Male;182.4111679417;71.8154204495;201.6206667477;;52.6115933842;;
Male;165.7021057778;65.2370495188;181.0119732404;;89.4098313777;;
Male;179.4269464304;70.6405300907;182.1224859787;;18.2257565549;;
Male;164.4190910171;64.7319255973;177.5492634234;;115.3195051011;;
Male;170.4430200033;67.1035511824;164.9745806825;;22.2289899388;;
Male;165.3984116155;65.117484888;165.7171121901;;95.2453294552;;
Male;182.1211344184;71.701234023;193.0941635431;;48.4882632368;;
Male;169.755510643;66.8328782059;180.6838869709;;29.1845464173;;
Male;168.8370391642;66.4712752615;172.7737229284;;39.9518024013;;
Male;176.3052766003;69.4115262206;177.4706162297;;1.3167416057;;
Male;177.9325307852;70.0521774745;200.8187373133;;7.6992253754;;
Male;169.5287558161;66.743604652;167.7397753443;;31.6859468268;;
Male;168.3367959531;66.2743291154;154.3956247792;;46.5258640387;;
Male;173.554257902;68.3284479929;177.9847286039;;2.5712926801;;
Male;177.9927560158;70.0758881952;183.9388569568;;8.0370721064;;
Male;174.5817898977;68.7329881487;179.2047820686;;0.3317680324;;
Male;171.5923702052;67.5560512619;158.5679873854;;12.7121682638;;
Male;168.2842266384;66.2536325348;166.5035316429;;47.2457767991;;
Male;175.7227948087;69.1822026806;171.983677612;;0.3192383651;;
Male;171.7271265517;67.6091049416;174.3641823786;;11.7694035382;;
Male;176.0035545756;69.2927380219;187.7453518634;;0.7153295898;;
Male;173.2043373796;68.1906840077;201.4879623806;;3.815949719;;
Male;181.8819979292;71.6070857989;204.9270121368;;45.2150666656;;
Male;175.7600180762;69.1968575103;178.6855464702;;0.3626871095;;
Male;170.8453808869;67.2619609791;164.014427742;;18.5968118237;;
Male;187.160391236;73.6851934;223.2700044124;;144.0626049158;;
Male;176.6245261185;69.5372150073;202.9583062698;;2.1513354306;;
Male;173.5113619974;68.3115598415;189.3917856099;;2.7107020562;;
Male;172.0569672047;67.7389634664;178.1705555785;;9.6150584807;;
Male;182.1326370068;71.7057626011;223.2993352398;;48.648588677;;
Male;161.6259520937;63.6322646038;167.0287066583;;183.1104471719;;
Male;174.5518440775;68.7211984557;180.4686820119;;0.3671619552;;
Male;170.0513277915;66.9493416502;164.4391456224;;26.0758846054;;
Male;159.2757539277;62.7069897353;149.969618421;;252.2388468606;;
Male;183.5363586659;72.2584089236;192.9102665517;;70.2005305033;;
Male;180.1079787793;70.9086530627;201.8839987006;;24.5044384381;;
Male;171.7290027483;67.6098436017;179.8680259845;;11.7565338861;;
Male;179.8359597475;70.8015589557;196.4677246739;;21.8853378556;;
Male;176.0341133746;69.3047690451;187.5516494914;;0.7679549581;;
Male;168.2569617866;66.2428983412;171.6931596857;;47.6213331606;;
Male;171.4301701623;67.4921929773;191.6996047843;;13.8950973281;;
Male;167.1478706602;65.8062482914;165.8506477849;;64.1586953924;;
Male;181.4670123802;71.4437056615;185.6627413239;;39.8063756081;;
Male;173.8995907886;68.4644058223;178.2818007299;;1.5830475937;;
Male;162.5293284967;63.987924605;150.9790512501;;159.4778626696;;
Male;180.3448201219;71.0018976858;209.9293234305;;26.9053542983;;
Male;173.0748994492;68.1397241926;174.1578043415;;4.3384038083;;
Male;173.7243166302;68.3954002481;179.8789771023;;2.0548257798;;
Male;172.9643981523;68.096219745;167.7471412476;;4.8109370081;;
Male;173.077099504;68.1405903559;183.0446603721;;4.3292437328;;
Male;174.9046293841;68.8600903087;169.5568207822;;0.0640867438;;
Male;168.0180854572;66.1488525422;173.4316726604;;50.9752807358;;
Male;168.1633214146;66.206032053;180.8895546094;;48.9224926078;;
Male;171.2775853453;67.4321202147;183.5089328547;;15.0559336941;;
Male;176.4566093192;69.4711060312;205.9779101657;;1.6869498561;;
Male;179.1102836235;70.5158596943;183.7598451926;;15.6222613268;;
Male;181.1994751416;71.33837604;201.9544954667;;36.5020441598;;
Male;180.3449397092;71.0019447674;216.1200947369;;26.9065949198;;
Male;168.153963174;66.2023477063;159.3903237442;;49.0534918931;;
Male;184.2599998953;72.5433070454;210.3364246619;;82.8503527498;;
Male;171.3975534653;67.479351758;178.61835016;;14.1393260128;;
Male;165.9900428117;65.3504105558;146.7397976358;;84.0474598167;;
Male;179.9439185491;70.8440624209;195.9370149743;;22.9070936732;;
Male;177.6437271586;69.9384752593;170.175853813;;6.1799184528;;
Male;164.4391313268;64.739815483;169.6540541212;;114.8894932901;;
Male;176.0433433162;69.3084028804;198.3786936436;;0.7842171068;;
Male;174.8496956641;68.8384628599;179.907716916;;0.094917795;;
Male;157.3208011;61.9373232677;147.2636865016;;318.1579226353;;
Male;174.2270722592;68.5933355351;176.9842511213;;0.8662224483;;
Male;165.6551819684;65.2185755781;185.4677883732;;90.2994260109;;
Male;163.4074661918;64.333648107;177.4938023389;;138.0699446541;;
Male;174.6222230223;68.7489067017;169.8274774196;;0.2868244697;;
Male;184.123724717;72.4896554004;198.5816982498;;80.3881112083;;
Male;170.7741845325;67.2339309183;203.3503392748;;19.2159353605;;
Male;170.849556302;67.2636048433;193.2176726874;;18.5608171204;;
Male;165.4010008793;65.1185042832;178.1349451788;;95.1947969854;;
Male;168.307562897;66.2628200382;162.7795834047;;46.925515203;;
Male;171.9622663354;67.7016796596;159.2865105989;;10.2113266343;;
Male;166.4479677554;65.5306959667;172.1143119512;;75.860881269;;
Male;177.4671833154;69.8689698092;201.8370425949;;5.333329903;;
Male;173.9439634263;68.4818753647;170.3523295506;;1.473357912;;
Male;183.4234668981;72.2139633457;205.3897607086;;68.3215306121;;
Male;173.176013043;68.1795326941;169.7877680759;;3.9274120883;;
Male;182.832264619;71.9812065429;200.4373105287;;58.8976684069;;
Male;167.8054473011;66.0651367327;178.5889540372;;54.056839955;;
Male;169.3066569913;66.6561641698;168.0140297383;;34.2356753509;;
Male;171.7025374561;67.5994241953;177.7664258399;;11.9387216397;;
Male;173.3446979983;68.2459440938;193.2776239995;;3.2872771558;;
Male;164.6138984594;64.8086214407;162.3795406396;;111.1735008116;;
Male;171.4302344053;67.4922182698;183.3838243915;;13.8946183865;;
Male;173.1790559955;68.1807307069;181.0560952854;;3.9153604842;;
Male;176.6655976534;69.5533849029;210.8717989571;;2.2735050853;;
Male;168.6617141577;66.4022496684;165.568499073;;42.1989101605;;
Male;169.1440790713;66.5921571147;196.1484498462;;36.1646347167;;
Male;182.7171519203;71.9358865828;202.0464251519;;57.1440587561;;
Male;173.4490859889;68.2870417279;170.4136024964;;2.919645412;;
Male;177.6868460358;69.9554511952;201.9480852966;;6.3961599337;;
Male;182.5018680293;71.8511291454;193.3869845528;;53.9355851925;;
Male;167.0189665474;65.7554986407;179.8556896152;;66.2403329451;;
Male;170.2609042807;67.031852079;156.4899349982;;23.9794210088;;
Male;194.8429805391;76.7098348579;235.03541882;;387.5070028883;;
Male;184.3306482831;72.5711213713;230.5605349597;;84.141457845;;
Male;177.1111644394;69.7288048974;203.8956549864;;3.8156991208;;
Male;184.9100289717;72.7992240046;218.216396639;;95.106301857;;
Male;184.2499593426;72.5393540719;222.6671779215;;82.6676709855;;
Male;183.6286481964;72.2947433844;208.4748658906;;71.755557492;;
